"ID","Label"
"ID","A rdfs:label"
"SNOMED:77176002","Smoker (finding)"
"SNOMED:8392000","Non-smoker (finding)"
"SNOMED:8517006","Ex-smoker (finding)"
"SNOMED:266919005","Never smoked tobacco (finding)"
